medfile	rat	session	box	dietgroup	date	bottleL	bottleR	licksL	licksR	Totallicks	intakeL	intakeR	include
!2018-04-20_10h17m.Subject IPP1.1	IPP1.1	s5	1	NR	20042018	caseinCH	maltodextrinGR	1535	2980	4515	4	22	
!2018-04-20_10h17m.Subject IPP1.2	IPP1.2	s5	2	NR	20042018	maltodextrinGR	caseinCH	1338	5788	7126	7	29	
!2018-04-20_10h17m.Subject IPP1.3	IPP1.3	s5	3	PR	20042018	caseinGR	maltodextrinCH	2180	575	2755	12	4	
!2018-04-20_10h18m.Subject IPP1.4	IPP1.4	s5	4	PR	20042018	maltodextrinCH	caseinGR	7	2351	2358	0	18	
!2018-04-20_08h48m.Subject IPP1.5	IPP1.5	s5	1	PR	20042018	maltodextrinGR	caseinCH	921	1646	2567	5	16	
!2018-04-20_08h48m.Subject IPP1.6	IPP1.6	s5	2	PR	20042018	caseinCH	maltodextrinGR	1822	1466	3288	20	6	
!2018-04-20_08h48m.Subject IPP1.7	IPP1.7	s5	3	NR	20042018	maltodextrinCH	caseinGR	3250	166	3416	21	1	
!2018-04-20_08h48m.Subject IPP1.8	IPP1.8	s5	4	NR	20042018	maltodextrinCH	caseinGR	1857	0	1857	8	21	
!2018-04-23_10h52m.Subject IPP1.1	IPP1.1	s6	1	NR	23042018	caseinCH	maltodextrinGR	3446	744	4190	21	6	
!2018-04-23_10h52m.Subject IPP1.2	IPP1.2	s6	2	NR	23042018	maltodextrinGR	caseinCH	2404	4557	6961	16	25	
!2018-04-23_09h27m.Subject IPP1.3	IPP1.3	s6	3	PR	23042018	caseinGR	maltodextrinCH	3695	741	4436	20	6	
!2018-04-23_09h27m.Subject IPP1.4	IPP1.4	s6	4	PR	23042018	maltodextrinCH	caseinGR	663	2131	2794	3	25	
!2018-04-23_09h27m.Subject IPP1.5	IPP1.5	s6	1	PR	23042018	maltodextrinGR	caseinCH	959	1958	2917	5	16	
!2018-04-23_09h27m.Subject IPP1.6	IPP1.6	s6	2	PR	23042018	caseinCH	maltodextrinGR	3275	1590	4865	24	7	
!2018-04-23_10h52m.Subject IPP1.7	IPP1.7	s6	3	NR	23042018	maltodextrinCH	caseinGR	1985	740	2725	19	2	
!2018-04-23_10h52m.Subject IPP1.8	IPP1.8	s6	4	NR	23042018	maltodextrinCH	caseinGR	2329	6758	9087	9	23	
!2018-04-24_09h44m.Subject IPP1.1	IPP1.1	s7	1	NR	24042018	caseinCH	maltodextrinGR	1507	3781	5288	8	25	
!2018-04-24_09h44m.Subject IPP1.2	IPP1.2	s7	2	NR	24042018	maltodextrinGR	caseinCH	2071	2273	4344	17	20	
!2018-04-24_11h01m.Subject IPP1.3	IPP1.3	s7	3	PR	24042018	caseinGR	maltodextrinCH	2141	934	3075	22	5	
!2018-04-24_11h01m.Subject IPP1.4	IPP1.4	s7	4	PR	24042018	maltodextrinCH	caseinGR	937	1739	2676	5	24	
!2018-04-24_11h01m.Subject IPP1.5	IPP1.5	s7	1	PR	24042018	maltodextrinGR	caseinCH	1321	1062	2383	6	14	
!2018-04-24_11h01m.Subject IPP1.6	IPP1.6	s7	2	PR	24042018	caseinCH	maltodextrinGR	3820	1080	4900	20	5	
!2018-04-24_09h44m.Subject IPP1.7	IPP1.7	s7	3	NR	24042018	maltodextrinCH	caseinGR	1709	1775	3484	13	7	
!2018-04-24_09h44m.Subject IPP1.8	IPP1.8	s7	4	NR	24042018	maltodextrinCH	caseinGR	3827	5628	9455	16	15	
!2018-04-25_12h43m.Subject IPP1.1	IPP1.1	s8	1	NR	25042018	caseinCH	maltodextrinGR	1862	1967	3829	8	23	
!2018-04-25_12h43m.Subject IPP1.2	IPP1.2	s8	2	NR	25042018	maltodextrinGR	caseinCH	1694	2231	3925	16	15	
!2018-04-25_12h44m.Subject IPP1.3	IPP1.3	s8	3	PR	25042018	caseinGR	maltodextrinCH	3342	367	3709	22	2	
!2018-04-25_12h44m.Subject IPP1.4	IPP1.4	s8	4	PR	25042018	maltodextrinCH	caseinGR	36	1069	1105	1	14	
!2018-04-25_14h08m.Subject IPP1.5	IPP1.5	s8	1	PR	25042018	maltodextrinGR	caseinCH	941	2005	2946	5	20	
!2018-04-25_14h08m.Subject IPP1.6	IPP1.6	s8	2	PR	25042018	caseinCH	maltodextrinGR	3074	2090	5164	18	10	
!2018-04-25_14h08m.Subject IPP1.7	IPP1.7	s8	3	NR	25042018	maltodextrinCH	caseinGR	2387	1828	4215	13	7	
!2018-04-25_14h08m.Subject IPP1.8	IPP1.8	s8	4	NR	25042018	maltodextrinCH	caseinGR	3080	5674	8754	11	16	
